Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,44,41.5,62,43.5,61.5,71,79.5,81.5,64,61,53,48
2,40,40,52,53,70,69.5,82,78.5,62,65,65,44
3,43.5,31.5,34.5,55.5,61,66.5,81.5,78.5,65.5,65,64,45
4,45,30,25.5,49.5,58.5,65,78.5,78,73,66.5,52,46
5,32,39,27.5,54,58.5,62.5,77.5,75,78,75,57,55
6,31.5,44,36.5,48.5,61.5,55.5,75,72,67.5,76,57,50
7,25,40.5,48,48,54,61,75,69.5,68,74,46,43
8,23,50.5,55.5,50,55,64,79,72.5,67,75.5,45,38.5
9,20.5,31.5,57,57,56.5,69.5,77.5,76.5,63.5,75,49,34
10,35,26.5,38,62.5,58.5,77.5,80,78.5,66,75,40,36
11,49,40,25.5,67.5,58,84.5,82,77,68.5,70,32.5,39
12,58,36,27,65.5,58,86,84.5,71.5,72.5,60.5,40.5,41.5
13,48.5,37.5,30,58,51,90.5,83.5,78.5,75.5,60.5,46,27.5
14,31.5,36.5,29,58,58.5,76.5,69,77,76.5,67.5,43,28.5
15,37,43,26.5,57.5,62,70,76.5,72.5,76,70.5,44.5,26.5
16,37.5,34.5,34,74,71,66.5,78.5,78.5,74.5,59.5,52,32.5
17,41,36.5,40.5,66,80,69,81,76,75,53,45,35
18,42,50.5,37.5,57,88.5,77,82,78,71,63,46,41
19,45.5,59.5,42,50,82,78.5,86,82,73.5,65,50,51
20,43.5,47.5,45.5,57.5,63,78,87.5,77,74.5,68,42.5,44.5
21,46,41.5,53.5,51,64,81,85.5,81.5,75.5,68.5,51,37.5
22,46.5,51.5,38.5,52.5,60,76,82,82.5,74.5,67,46,43.5
23,41.5,53.5,35.5,56.5,64.5,82,76,78,78,68,39.5,45.5
24,39.5,59.5,48,53.5,63,78,68.5,75,81,71.5,44,38.5
25,46,56,50.5,53.5,57.5,77,66.5,72,78.5,63.5,50,33.5
26,51,43,41.5,57.5,66.5,74,71.5,70.5,74.5,55.5,47.5,26.5
27,41.5,45.5,44.5,62.5,67,70.5,72.5,70.5,77,57,47,21.5
28,38,51,43.5,70,64.5,72.5,77.5,69.5,69,61,45,15.5
29,41,M,51.5,76.5,59,76,72,65,63.5,64.5,54,17
30,35,-,47,61,59.5,82,74,70.5,60.5,54.5,47,21
31,31.5,-,43,-,68,-,79.5,74,-,53,-,16
