Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,39,34,53,39,50,60,74,72,56,52,47,43
2,38,34,38,43,62,60,73,69,56,56,58,40
3,40,28,27,48,55,59,73,70,59,59,53,42
4,36,24,19,45,51,59,70,71,64,58,48,40
5,28,33,17,45,53,58,70,70,71,66,52,50
6,28,38,28,43,56,52,69,66,61,70,48,41
7,22,38,43,43,50,52,68,66,61,66,41,40
8,19,39,49,42,48,57,71,65,61,71,40,36
9,17,19,49,46,49,56,70,68,58,71,42,31
10,23,19,27,52,52,67,72,71,59,69,27,32
11,44,31,20,57,52,75,75,72,59,62,26,35
12,48,32,22,54,52,76,78,65,63,56,34,32
13,34,33,23,50,47,80,73,72,67,53,42,22
14,29,31,24,50,47,70,65,71,70,62,39,24
15,33,36,23,52,54,64,67,69,70,66,38,23
16,31,31,27,60,59,63,71,71,69,48,45,25
17,39,29,32,59,66,64,75,70,69,45,41,33
18,39,36,34,49,80,70,76,73,68,52,36,34
19,41,53,36,46,68,70,78,75,69,58,40,46
20,41,40,37,49,58,70,77,71,71,62,37,36
21,41,36,45,48,57,75,77,75,72,58,43,34
22,43,44,26,49,57,68,73,74,68,58,37,36
23,38,42,26,48,59,77,72,74,70,61,34,38
24,38,49,38,48,57,70,64,69,71,67,37,36
25,39,47,44,50,56,70,62,66,71,59,42,28
26,45,39,39,53,57,67,65,64,68,52,42,24
27,38,37,39,56,62,62,67,64,70,51,42,18
28,36,44,42,55,58,64,71,64,61,54,37,12
29,37,M,44,65,56,69,68,61,57,61,44,12
30,32,-,41,53,55,75,66,61,55,47,40,18
31,28,-,40,-,58,-,70,66,-,48,-,10
